patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
279,9.010667,4.793901,2.2997136,5.943916,5.859172,5.75687,4.278365,5.720115,3.6304111,6.655628,6.0210333,6.051128,4.1975756,6.506846,5.1658015,5.039172
354,8.554722,4.77257,1.9416327,5.9050493,5.57055,5.851019,4.3098035,5.880057,4.356014,6.948507,5.5707793,5.8387613,5.0338326,6.5362473,5.179119,5.170121
194,5.477212,4.5807867,2.3679214,4.9564795,5.3541408,5.243785,4.936674,4.6214657,4.545381,6.2606845,5.4652143,6.592491,4.2730937,5.3966203,4.797119,4.546019
62,5.0941243,4.428453,1.9920026,4.9091234,4.889386,5.0429826,4.7495184,4.945207,5.5928516,6.7859917,4.5414596,6.3366876,4.796522,4.971428,5.1147895,4.855786
357,5.357969,4.549657,2.1824107,4.6466174,4.788488,5.046382,4.7800884,5.017603,5.0409303,6.5895343,4.7272463,6.345419,4.383161,4.8332577,5.1906276,4.762717
18,8.511033,4.501091,2.0535889,5.877958,5.897211,5.5879803,4.288116,5.7642336,4.4970264,6.65533,5.640505,5.8318615,5.013395,6.39579,5.1028576,5.3734846
593,9.8140335,5.1196036,2.7679317,5.587885,5.457596,5.512817,4.2757106,6.011115,3.1182027,6.302492,6.428656,6.09508,3.6936338,6.035574,5.5409346,4.8279443
30,3.2307336,5.5335703,2.05851,4.0382857,4.2361817,4.5961933,5.81741,5.370133,5.411282,5.711482,5.7719154,6.2275615,4.5828094,4.744672,4.768942,4.1128697
622,8.276878,4.5787816,2.0038104,5.4836507,5.418805,5.4927278,4.3000736,5.8741403,4.7722836,6.9664893,5.1113114,5.885115,4.8603287,6.148582,5.3721995,5.3568482
653,9.558661,5.064675,2.7607064,5.1687517,5.1070566,5.2804284,4.2259274,6.2386765,3.6925638,6.3926272,5.8888597,6.0169735,3.7929428,5.776826,5.697856,5.0236726
158,3.7878294,5.2836413,2.2016609,4.2061696,4.3637805,4.825613,5.581919,5.283453,5.563208,6.078209,5.72771,6.0547557,4.4990697,4.813765,4.919784,4.377312
110,5.4798336,4.611929,2.1734338,5.1182075,5.4614487,5.214603,4.9249434,4.6939855,4.538556,6.2994614,5.164469,6.671237,4.3986506,5.2873764,4.648287,4.6838813
727,5.328593,4.6516895,2.3155918,4.889916,5.059969,5.1447444,5.0123816,4.851372,5.1389036,6.368357,5.406944,6.2784534,4.5087705,5.4274096,5.024654,4.5059533
576,5.18127,4.6912203,2.1070166,4.9594088,5.4172573,5.2380366,5.0604215,4.6838627,4.297014,6.1873446,5.1688495,6.7810526,4.236827,5.2495127,4.593954,4.60043
548,8.338908,4.8631487,2.4333272,4.6584997,4.604909,5.3275375,4.5119557,6.1437764,4.5810957,6.6058726,5.3878584,5.9481635,4.282572,5.341515,5.857208,4.884435
76,9.75002,4.9512124,2.4694762,5.1147037,5.0153327,5.125216,3.9840207,6.7166495,4.485891,6.634275,5.185052,5.892682,4.4707336,5.7636275,5.6996164,5.6299496
73,4.2551003,5.160556,2.0873704,4.474051,4.8084683,4.854152,5.49227,5.0605106,4.8623643,5.7869625,5.5385237,6.508457,4.45626,5.0897703,4.693152,4.2020926
124,5.321115,4.3653674,2.204706,4.863142,4.8375635,5.073414,4.7615013,4.9327135,5.7695093,6.8067145,4.781659,6.211156,4.761804,5.083587,5.31555,4.7025843
276,5.514714,4.560062,2.4017284,5.0601206,5.4575806,5.277424,4.9316845,4.4964614,4.416808,6.1978025,5.5146284,6.595985,4.1513,5.5427017,4.781744,4.5230265
247,8.805397,4.65558,1.7928814,5.87758,5.6503944,6.040186,4.2890873,6.0806794,4.389086,6.8571362,5.690951,5.7809052,5.1297984,6.6712213,5.1768403,5.234717
187,9.6132345,5.319027,2.7786283,5.029256,4.62797,5.334606,4.105477,6.6660266,4.3169003,6.559003,5.388157,6.0612664,4.435172,5.4466467,5.814657,5.267045
138,3.6711147,5.3426833,2.025398,4.1001716,4.396297,4.7646976,5.613109,5.3449316,5.4244947,5.982988,5.4996424,6.2924414,4.575321,4.6203985,4.803882,4.3365483
523,8.73944,4.935835,2.6034439,4.64518,4.7552285,5.3600307,4.5681443,6.068265,3.9875894,6.434386,5.798682,5.9986615,3.7922304,5.31971,5.91442,4.606467
621,5.1756444,4.7108035,2.238163,4.810721,5.234201,5.1487284,5.076568,4.6642427,4.370115,6.0844545,5.315481,6.663093,4.1492324,5.264976,4.7942533,4.4331136
380,8.602194,4.5968447,1.8784727,5.6334805,5.4926167,5.759751,4.273775,6.019035,4.696024,7.0293417,5.260892,5.8306475,5.0435452,6.4189262,5.338006,5.3673983
522,5.228396,4.620995,2.258737,4.819611,5.21645,5.1690683,5.025524,4.6091866,4.464343,6.175699,5.2499475,6.636291,4.1747537,5.245464,4.85485,4.442735
287,5.3013406,4.484968,2.0397089,4.6961217,4.769287,5.0614247,4.6939063,5.0105844,5.0703254,6.696823,4.6068788,6.3077884,4.521703,4.986034,5.3322625,4.795564
462,8.804471,5.001996,2.3097935,4.9260764,4.698776,5.3325715,4.346696,6.400666,4.563494,6.8670034,5.130021,5.890972,4.4902267,5.576446,5.7724085,5.137208
157,8.814053,4.829147,2.1281896,5.664306,5.406373,5.5376744,4.2252264,6.12513,4.572921,6.8149233,5.4236217,5.7921104,5.0321527,6.243996,5.329745,5.352931
585,3.5775857,5.3828354,2.086191,4.23321,4.585737,4.793239,5.8542633,5.1376786,5.124926,5.634716,5.82845,6.4441247,4.524387,5.1039653,4.536027,3.9635253
553,9.020685,4.764974,2.252652,5.9016843,5.831643,5.852595,4.353024,5.7964406,3.6931663,6.4819846,6.199117,5.9610214,4.435068,6.479162,5.158971,4.9596562
485,9.734674,5.0762095,2.8175187,5.3698645,5.3265653,5.5234795,4.307577,6.0572176,3.3004122,6.3345995,6.2410407,6.071636,3.580964,5.9256363,5.604801,4.816002
